Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"9,027,687","First published September 14, 2008","In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.","226,775",374,Hardcover,"3,947,185","Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic"
21,Crime and Punishment,Fyodor Dostoevsky,4.27,"952,000","First published January 1, 1866","Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden sex worker, can offer the chance of redemption.","40,971",671,Paperback,"984,698","Fiction, Russia, Russian Literature, Literature, Philosophy, Novels, Crime"
19,The Great Gatsby,F. Scott Fitzgerald,3.93,"5,437,440","First published April 10, 1925",", F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when ","112,605",180,Paperback,"1,045,931","Fiction, School, Historical Fiction, Romance, Literature, Novels, Read For School"
18,The Little Prince,Antoine de Saint-Exupéry,4.33,"2,207,635","First published January 1, 1943","A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.","72,965",96,Paperback,"1,066,867","Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult"
22,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,"579,321","First published December 27, 1871","""I can't explain myself, I'm afraid, sir,"" said Alice, ""Because I'm not myself, you see.""","16,328",239,Paperback,"971,664","Fantasy, Fiction, Classics, Childrens, Young Adult, Literature, Adventure"
20,"The da Vinci Code (Robert Langdon, #2)",Dan       Brown,3.92,"2,407,744","First published January 1, 2003",Alternate covers for 9780307277671 can be found:,"56,314",489,Paperback,"995,866","Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction, Suspense, Adventure"
24,Memoirs of a Geisha,Arthur Golden,4.15,"2,038,757","First published September 23, 1997","A literary sensation and runaway bestseller, this brilliant novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.","37,122",503,Mass Market Paperback,"946,822","Fiction, Historical Fiction, Romance, Historical, Japan, Adult, Novels"
17,Jane Eyre,Charlotte Brontë,4.15,"2,160,924","First published October 16, 1847",.,"69,443",532,Paperback,"1,080,261","Classics, Fiction, Gothic, Historical Fiction, Literature, Historical, School"
23,"Divergent (Divergent, #1)",Veronica Roth,4.14,"4,115,457","First published April 25, 2011","In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.","123,271",487,Paperback,"960,671","Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Teen"
16,The Perks of Being a Wallflower,Stephen Chbosky,4.23,"1,864,292","First published February 1, 1999",standing on the fringes of life...,"97,085",213,Paperback,"1,116,643","Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction"
12,The Giving Tree,Shel Silverstein,4.38,"1,163,208","First published January 1, 1964","""Once there was a tree...and she loved a little boy.""","22,915",64,Hardcover,"1,192,506","Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy"
13,Wuthering Heights,Emily Brontë,3.89,"1,879,650","First published December 1, 1847",At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.,"67,278",464,Paperback,"1,186,642","Fiction, Gothic, Historical Fiction, Literature, Historical, 19th Century, Novels"
14,Gone with the Wind,Margaret Mitchell,4.31,"1,236,321","First published June 30, 1936","Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.","25,693",1037,Mass Market Paperback,"1,173,605","Historical Fiction, Fiction, Romance, Classics, Historical, Literature, War"
11,The Picture of Dorian Gray,Oscar Wilde,4.13,"1,635,593","First published June 1, 1890",Oscar Wilde’s only novel is the dreamlike story of a young man who sells his soul for eternal youth and beauty.,"78,484",272,Paperback,"1,268,808","Classics, Fiction, Horror, Fantasy, Gothic, Literature, Novels"
10,The Fault in Our Stars,John Green,4.13,"5,334,856","First published January 10, 2012","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.","182,250",313,Hardcover,"1,356,798","Young Adult, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age, Novels"
100,The Poisonwood Bible,Barbara Kingsolver,4.10,"760,294","First published September 24, 1998"," is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.","28,908",546,Paperback,"291,327","Fiction, Historical Fiction, Africa, Classics, Literary Fiction, Historical, Religion"
97,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,"611,113","First published April 12, 1976","This is the story of Louis, as told in his own words, of his journey through mortal and immortal life. Louis recounts how he became a vampire at the hands of the radiant and sinister Lestat and how he became indoctrinated, unwillingly, into the vampire way of life. His story ebbs and flows through the streets of New Orleans, defining crucial moments such as his discovery of the exquisite lost young child Claudia, wanting not to hurt but to comfort her with the last breaths of humanity he has inside. Yet, he makes Claudia a vampire, trapping her womanly passion, will, and intelligence inside the body of a small child. Louis and Claudia form a seemingly unbreakable alliance and even ""settle down"" for a while in the opulent French Quarter. Louis remembers Claudia's struggle to understand herself and the hatred they both have for Lestat that sends them halfway across the world to seek others of their kind. Louis and Claudia are desperate to find somewhere they belong, to find others who understand, and someone who knows what and why they are.","18,451",346,Paperback,"301,387","Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic"
99,The Old Man and the Sea,Ernest Hemingway,3.80,"1,201,977","First published September 1, 1952","This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses—specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.","42,767",96,Hardcover,"294,559","Classics, Fiction, Literature, Novels, School, American, Adventure"
15,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,"3,167,389","First published July 28, 2005","Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.","108,866",377,Paperback,"1,119,456","Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology"
98,Don Quixote,Miguel de Cervantes Saavedra,3.90,"282,622","First published January 1, 1605","Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.","12,836",1023,Paperback,"298,047","Fiction, Classics, Literature, Spanish Literature, Adventure, Historical Fiction, Novels"
95,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,"639,431","First published September 5, 1996",Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.,"14,708",452,Paperback,"306,308","Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir"
96,The Complete Stories and Poems,Edgar Allan Poe,4.40,"281,407","First published November 1, 1849","This single volume brings together all of Poe's stories and poems, and illuminates the diverse and multifaceted genius of one of the greatest and most influential figures in American literary history.","3,367",821,Hardcover,"305,462","Classics, Poetry, Horror, Fiction, Short Stories, Gothic, Mystery"
91,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,"1,557,475","First published July 1, 1995","Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.","28,624",399,Hardcover,"318,000","Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Audiobook"
93,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,"659,254","First published August 16, 2007","Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires—the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.","27,260",332,Paperback,"312,278","Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Fiction"
94,Siddhartha,Hermann Hesse,4.07,"802,803","First published October 1, 1922","Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning.","29,083",152,Mass Market Paperback,"311,453","Classics, Fiction, Philosophy, Spirituality, Religion, Literature, Buddhism"
90,It,Stephen        King,4.24,"1,163,853","First published September 15, 1986","Welcome to Derry, Maine ...","38,205",1116,Paperback,"318,945","Horror, Fiction, Thriller, Fantasy, Classics, Audiobook, Mystery"
92,"The Shining (The Shining, #1)",Stephen        King,4.28,"1,561,312","First published January 28, 1977","Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.","42,347",497,Paperback,"315,884","Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery"
88,The Road,Cormac McCarthy,3.99,"946,889","First published September 26, 2006","A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.","63,588",241,Hardcover,"335,322","Fiction, Science Fiction, Dystopia, Post Apocalyptic, Horror, Literature, Novels"
87,A Clockwork Orange,Anthony Burgess,4.00,"731,961","First published January 1, 1962","In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, ","22,132",240,Paperback,"341,725","Fiction, Science Fiction, Dystopia, Horror, Literature, Novels, Modern Classics"
89,To Kill a Mockingbird,Harper Lee,4.26,"6,373,070","First published July 11, 1960","'Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.'","122,094",323,Paperback,"329,202","Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School"
199,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,"418,600","First published January 22, 1990","In his inimitable, humorous verse and pictures, he addresses the Great Balancing Act (life itself, and the ups and downs it presents) while encouraging us to find the success that lies within us.","6,611",44,Hardcover,"89,780","Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Young Adult"
198,The Phantom Tollbooth,Norton Juster,4.20,"293,836","First published January 1, 1961",This beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. ,"13,865",248,Paperback,"90,357","Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure"
200,The Diary of a Young Girl,Anne Frank,4.19,"3,874,358","First published January 1, 1947","Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit. ","43,629",283,Mass Market Paperback,"89,562","Nonfiction, Biography, Memoir, Classics, Historical, Holocaust, Autobiography"
197,The Joy Luck Club,Amy Tan,3.97,"692,381","First published January 1, 1989","Four mothers, four daughters, four families, whose histories shift with the four winds depending on who's telling the stories. In 1949, four Chinese women, recent immigrants to San Francisco, meet weekly to play mahjong and tell stories of what they left behind in China. United in loss and new hope for their daughters' futures, they call themselves the Joy Luck Club. Their daughters, who have never heard these stories, think their mothers' advice is irrelevant to their modern American lives – until their own inner crises reveal how much they've unknowingly inherited of their mothers' pasts. ","13,985",352,Paperback,"90,573","Fiction, Historical Fiction, Classics, China, Contemporary, Historical, Adult Fiction"
